base_meaning,person,hebrew,french
Sur,3FP,עֲלֵיהֶן,Sur elles
Vers,base,אֶל,Vers
Vers,1S,אֵלַי,Vers moi
Vers,2MS,אֵלֶיךָ,Vers toi (M)
Vers,2FS,אֵלַיִךְ,Vers toi (F)
Vers,3MS,אֵלָיו,Vers lui
Vers,3FS,אֵלֶיהָ,Vers elle
Vers,1P,אֵלֵינוּ,Vers nous
Vers,2MP,אֲלֵיכֶם,Vers vous (M)
Vers,2FP,אֲלֵיכֶן,Vers vous (F)
Vers,3MP,אֲלֵיהֶם,Vers eux
Vers,3FP,אֲלֵיהֶן,Vers elles
Avec (bis),base,אֵת,Avec
Avec (bis),1S,אִתִּי,Avec moi
Avec (bis),2MS,אִתְּךָ,Avec toi (M)
Avec (bis),2FS,אִתָּךְ,Avec toi (F)
Avec (bis),3MS,אִתּוֹ,Avec lui
Avec (bis),3FS,אִתָּהּ,Avec elle
Avec (bis),1P,אִתָּנוּ,Avec nous
Avec (bis),2MP,אִתְּכֶם,Avec vous (M)
Avec (bis),2FP,אִתְּכֶן,Avec vous (F)
Avec (bis),3MP,אִתָּם,Avec eux
Avec (bis),3FP,אִתָּן,Avec elles
Accusatif,base,אֵת,Accusatif
Accusatif,1S,אֹתִי,Moi
Accusatif,2MS,אֹתְךָ,Toi (M)
Accusatif,2FS,אֹתָךְ,Toi (F)
Accusatif,3MS,אֹתוֹ,Lui
Accusatif,3FS,אֹתָהּ,Elle
Accusatif,1P,אֹתָנוּ,Nous
Accusatif,2MP,אֶתְכֶם,Vous (M)
Accusatif,2FP,אֶתְכֶן,Vous (F)
Accusatif,3MP,אֹתָם,Eux
Accusatif,3FP,אֹתָן,Elles
Voici,base,הִנֵּה,Voici
Voici,1S,הִנְנִי,Me voici
Voici,2MS,הִנְּךָ,Te voici (M)
Voici,2FS,הִנָּךְ,Te voici (F)
Voici,3MS,הִנּוֹ,Le voici
Voici,3FS,הִנָּהּ,La voici
Voici,1P,הִנְּנוּ,Nous voici
Voici,2MP,הִנְּכֶם,Vous voici (M)
Voici,2FP,הִנְּכֶן,Vous voici (F)
Voici,3MP,הִנָּם,Les voici (M)
Voici,3FP,הִנָּן,Les voici (F)
Entre,base,בֵּין,Entre
Entre,1S,בֵּינִי,Entre moi
Entre,2MS,בֵּינְךָ,Entre toi (M)
Entre,2FS,בֵּינֵךְ,Entre toi (F)
Entre,3MS,בֵּינוֹ,Entre eux
Entre,3FS,בֵּינָהּ,Entre elle
Entre,1P,בֵּינֵינוּ,Entre nous
Entre,2MP,בֵּינֵיכֶם,Entre vous (M)
Entre,2FP,בֵּינֵיכֶן,Entre vous (F)
Entre,3MP,בֵינֵיהֶם,Entre eux
Entre,3FP,בֵינֵיהֶן,Entre elles
N'est pas,base,אַיִן,N’est pas
N'est pas,1S,אֵינֶנִּי,Je ne suis pas
N'est pas,2MS,אֵינְךָ,Tu n’es pas (M)
N'est pas,2FS,אֵינֵךְ,Tu n'es pas (F)
N'est pas,3MS,אֵינֶנּוּ,Il n’est pas
N'est pas,3FS,אֵינֶנָּה,Elle n’est pas
N'est pas,1P,אֵינֶנּוּ,Nous ne sommes pas
N'est pas,2MP,אֵינְכֶם,Vous n’êtes pas (M)
N'est pas,2FP,אֵינְכֶן,Vous n’êtes pas (F)
N'est pas,3MP,אֵינָם,Ils ne sont pas
N'est pas,3FP,אֵינָן,Elles ne sont pas
